"expID","subID","eye","targetCategory","targetID","quadrant","breakTime","flag","outlier","pairedID"
"Binary","5","Right","Upright",10,"Right",3.1500899,0,0,"A10"
"Binary","5","Right","Inverted",21,"Right",3.2879243,0,0,"B01"
"Binary","5","Right","Upright",15,"Left",3.2603171,0,0,"A15"
"Binary","5","Right","Upright",17,"Right",4.6846154,0,0,"A17"
"Binary","5","Right","Inverted",34,"Right",3.1671316,0,0,"B14"
"Binary","5","Right","Inverted",26,"Right",3.5150169,0,0,"B06"
"Binary","5","Right","Upright",14,"Left",2.8666175,0,0,"A14"
"Binary","5","Right","Upright",19,"Left",3.0914478,0,0,"A19"
"Binary","5","Right","Upright",1,"Left",4.1942179,0,0,"A01"
"Binary","5","Right","Upright",1,"Right",3.5816665,0,0,"A01"
"Binary","5","Right","Upright",10,"Left",2.5255808,0,0,"A10"
"Binary","5","Right","Inverted",29,"Left",3.0114138,0,0,"B09"
"Binary","5","Right","Upright",4,"Right",2.34079,0,0,"A04"
"Binary","5","Right","Inverted",28,"Right",2.4589406,0,0,"B08"
"Binary","5","Right","Inverted",39,"Left",2.8648355,0,0,"B19"
"Binary","5","Right","Upright",3,"Right",3.1440161,0,0,"A03"
"Binary","5","Right","Upright",6,"Right",4.5741309,0,0,"A06"
"Binary","5","Right","Inverted",38,"Left",4.0543374,0,0,"B18"
"Binary","5","Right","Upright",2,"Left",3.8270723,0,0,"A02"
"Binary","5","Right","Inverted",35,"Right",4.8407152,1,NA,"B15"
"Binary","5","Right","Upright",3,"Left",4.7404777,0,0,"A03"
"Binary","5","Right","Inverted",36,"Right",15,1,NA,"B16"
"Binary","5","Right","Upright",12,"Left",4.5627165,0,0,"A12"
"Binary","5","Right","Upright",12,"Right",5.2874983,0,0,"A12"
"Binary","5","Right","Upright",7,"Right",10.582728,0,0,"A07"
"Binary","5","Right","Inverted",36,"Left",3.0612602,0,0,"B16"
"Binary","5","Right","Inverted",24,"Right",7.3434039,0,0,"B04"
"Binary","5","Right","Upright",17,"Left",3.8865896,0,0,"A17"
"Binary","5","Right","Upright",7,"Left",5.6698948,0,0,"A07"
"Binary","5","Right","Upright",18,"Left",7.0484768,0,0,"A18"
"Binary","5","Right","Inverted",37,"Left",5.7920357,0,0,"B17"
"Binary","5","Right","Inverted",32,"Right",4.5713184,0,0,"B12"
"Binary","5","Right","Inverted",32,"Left",3.1228149,0,0,"B12"
"Binary","5","Right","Inverted",26,"Left",7.7233977,0,0,"B06"
"Binary","5","Right","Upright",11,"Right",7.1615809,0,0,"A11"
"Binary","5","Right","Upright",16,"Left",4.3710496,0,0,"A16"
"Binary","5","Right","Inverted",22,"Right",3.8353161,0,0,"B02"
"Binary","5","Right","Inverted",35,"Left",5.6474834,0,0,"B15"
